94,2304679,3,8 mins 39 secs,9.38,0.63,0.63,0.63,0.63,0.63,0.63,1.25,0.63,1.25,2.5
95,2014679,1,22 mins 58 secs,2.5,0.63,0,0,0,0.63,0,0.31,0.63,0.31,0
96,1416669,2,7 mins 49 secs,6.56,0.63,0.63,0,0,0.63,0.63,0.63,0.63,0.31,2.5
97,2105679,2,7 mins 47 secs,7.81,0,0.63,0.63,0,0.63,0.63,1.25,0.63,0.94,2.5
98,3406673,1,9 hours 19 mins,2.5,0.63,0.63,0.63,0,0,0,0.63,0,0,0
99,3306685,2,8 mins 4 secs,5,0.63,0.63,0.63,0,0.63,0.63,0,0.63,0,1.25
100,2108679,4,3 mins 1 sec,10,0.63,0.63,0.63,0.63,0.63,0.63,1.25,0.63,1.25,3.13
101,2305682,2,11 mins 27 secs,6.56,0.63,0.63,0.63,0,0,0,0.63,0.63,0.31,3.13
102,2305682,3,3 mins 34 secs,9.06,0.63,0.63,0.63,0.63,0.63,0.63,1.25,0.63,0.31,3.13
103,2362965,1,47 mins 32 secs,5,0.63,0.63,0,0,0,0,0,0.63,0,3.13
104,2809669,1,12 mins 22 secs,5,0,0.63,0.63,0.63,0,0,0,0.63,0.63,1.88
105,2818679,1,9 mins 26 secs,7.5,0,0.63,0.63,0.63,0.63,0.63,0,0.63,0.63,3.13
106,2321665,1,11 hours 2 mins,3.75,0.63,0.63,0,0,0,0.63,0,0.63,1.25,0
107,2810689,1,12 mins 41 secs,5.94,0,0.63,0,0.63,0,0,0.94,0.63,1.25,1.88
108,2114672,1,6 mins 7 secs,1.25,0,0.63,0.63,0,0,0,0,0,0,0
109,2281465,1,7 mins 14 secs,8.44,0.63,0.63,0.63,0.63,0.63,0.63,0.94,0,0.63,3.13
110,2343365,2,25 mins 34 secs,8.75,0.63,0.63,0.63,0.63,0.63,0.63,1.25,0.63,1.25,1.88
111,2107670,2,5 mins 7 secs,4.06,0.63,0.63,0.63,0.63,0,0.63,0.63,0,0.31,0
112,6212665,1,10 mins 46 secs,1.88,0,0,0,0.63,0,0,0,0,0.63,0.63
113,6212665,2,26 mins 56 secs,3.44,0.63,0.63,0,0,0,0,0.63,0,0.31,1.25
114,1014682,1,11 mins 52 secs,0.63,0,0.63,0,0,0,0,0,0,0,0
115,7231765,1,11 mins 37 secs,0.63,0,0,0,0,0,0,0,0.63,0,0
116,6212665,3,4 mins 6 secs,6.25,0.63,0.63,0.63,0.63,0.63,0.63,0,0.63,0.63,1.25
117,2341465,3,4 mins 49 secs,5.94,0.63,0.63,0.63,0.63,0.63,0.63,0.31,0.63,0,1.25
118,1401679,2,6 mins 5 secs,8.44,0.63,0.63,0.63,0.63,0.63,0,0.31,0.63,1.25,3.13
119,2202685,1,13 mins 25 secs,0.94,0,0.63,0,0,0,0,0,0,0.31,0
120,2304679,4,5 mins 7 secs,10,0.63,0.63,0.63,0.63,0.63,0.63,1.25,0.63,1.25,3.13
121,1401676,2,7 mins 31 secs,8.13,0.63,0.63,0.63,0.63,0.63,0.63,0.94,0.63,0.31,2.5
122,2381865,1,1 hour 34 mins,0.63,0,0,0,0.63,0,0,0,0,0,0
123,2308679,1,25 mins 12 secs,2.5,0.63,0.63,0,0,0,0.63,0,0.63,0,0
124,3306685,3,4 mins 48 secs,9.06,0.63,0.63,0.63,0.63,0.63,0.63,0.31,0.63,1.25,3.13
125,3404673,1,11 mins 44 secs,7.19,0.63,0.63,0.63,0.63,0,0,1.25,0.63,0.31,2.5
126,2292865,2,7 mins 5 secs,7.19,0.63,0.63,0.63,0.63,0,0.63,0,0.63,0.94,2.5
127,2343365,3,10 mins 30 secs,9.06,0.63,0.63,0.63,0.63,0.63,0.63,0.31,0.63,1.25,3.13
128,1008679,1,48 mins 14 secs,1.88,0.63,0.63,0,0,0.63,0,0,0,0,0
129,2218682,1,16 mins 14 secs,1.88,0,0.63,0.63,0,0.63,0,0,0,0,0
130,2308679,2,5 mins 33 secs,8.75,0.63,0.63,0.63,0.63,0.63,0.63,0,0.63,1.25,3.13
131,2251265,1,6 mins 28 secs,1.56,0,0.63,0,0,0,0,0,0.63,0.31,0
132,1401679,3,6 mins 1 sec,9.38,0.63,0.63,0.63,0.63,0.63,0.63,1.25,0.63,1.25,2.5
133,2721669,2,6 mins 35 secs,8.13,0.63,0.63,0,0.63,0.63,0.63,1.25,0.63,0.63,2.5
134,2292865,3,2 mins 52 secs,8.75,0.63,0.63,0.63,0.63,0.63,0.63,0,0.63,1.25,3.13
135,2321465,3,28 mins 31 secs,7.81,0.63,0.63,0.63,0.63,0.63,0.63,0.94,0.63,0.63,1.88
136,1014676,2,12 mins 44 secs,8.13,0.63,0.63,0.63,0.63,0.63,0.63,0.31,0.63,0.94,2.5
137,2218682,2,5 mins 41 secs,7.81,0.63,0.63,0.63,0,0.63,0.63,0.31,0.63,0.63,3.13
138,2804676,1,12 mins 25 secs,5.63,0,0.63,0,0,0,0.63,1.25,0,1.25,1.88
139,2301676,1,7 mins 26 secs,3.75,0.63,0.63,0,0,0,0.63,1.25,0.63,0,0
140,2382967,4,7 mins 38 secs,6.56,0.63,0.63,0.63,0.63,0.63,0.63,0.31,0.63,1.25,0.63
141,2332665,2,7 mins 59 secs,4.38,0.63,0.63,0,0.63,0,0.63,0.63,0.63,0,0.63
142,3320673,2,8 mins 24 secs,9.06,0,0.63,0.63,0.63,0.63,0.63,1.25,0.63,0.94,3.13
143,2302673,2,12 mins 44 secs,7.81,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.94,1.88
144,2021672,1,14 mins 11 secs,0.63,0,0,0,0,0,0,0.63,0,0,0
145,1401682,1,9 mins 24 secs,3.75,0,0.63,0.63,0.63,0,0,1.25,0,0.63,0
146,2313065,4,3 mins 6 secs,10,0.63,0.63,0.63,0.63,0.63,0.63,1.25,0.63,1.25,3.13
147,2321365,3,3 mins 29 secs,10,0.63,0.63,0.63,0.63,0.63,0.63,1.25,0.63,1.25,3.13
148,3202673,1,17 mins 6 secs,5.63,0.63,0.63,0,0,0,0,1.25,0.63,0,2.5
