Index,ID,Attempt Number,Time taken,10,1.25,2.5,1.25,2.5,2.5
157,2341465,1,6 mins 10 secs,2.92,1.25,1.25,0.42,0,0
158,1014682,1,10 mins 3 secs,2.92,1.25,1.25,0.42,0,0
159,2202685,1,2 mins 3 secs,2.92,1.25,0,0.42,1.25,0
160,2393365,2,4 mins 57 secs,10,1.25,2.5,1.25,2.5,2.5
161,1401676,2,10 mins 53 secs,5.42,1.25,1.25,0.42,2.5,0
162,2281465,1,4 mins 5 secs,5.63,1.25,0,1.25,0.63,2.5
163,2021672,1,4 mins 19 secs,1.67,1.25,0,0.42,0,0
164,2453065,7,56 secs,7.5,1.25,0,1.25,2.5,2.5
165,2291566,2,6 mins 52 secs,10,1.25,2.5,1.25,2.5,2.5
166,2343365,3,5 mins 3 secs,10,1.25,2.5,1.25,2.5,2.5
167,2292865,2,3 mins 28 secs,10,1.25,2.5,1.25,2.5,2.5
168,1401679,4,1 min 16 secs,7.5,1.25,0,1.25,2.5,2.5
169,2200679,1,12 mins 35 secs,1.67,1.25,0,0.42,0,0
170,3306685,2,3 mins 47 secs,5.63,1.25,0,1.25,0.63,2.5
171,3306685,3,1 min 23 secs,7.5,1.25,0,1.25,2.5,2.5
172,2313683,1,12 mins 22 secs,9.17,1.25,2.5,0.42,2.5,2.5
173,1014682,2,2 mins 20 secs,0.42,0,0,0.42,0,0
174,2110679,2,2 mins 21 secs,7.5,1.25,0,1.25,2.5,2.5
175,2251265,2,3 mins 14 secs,10,1.25,2.5,1.25,2.5,2.5
176,2218682,2,6 mins 6 secs,4.79,1.25,0,0.42,0.63,2.5
177,2804676,2,14 mins 25 secs,10,1.25,2.5,1.25,2.5,2.5
178,2292865,3,59 secs,7.5,1.25,0,1.25,2.5,2.5
179,2218682,3,1 min 5 secs,10,1.25,2.5,1.25,2.5,2.5
180,1014676,2,6 mins 3 secs,8.75,1.25,2.5,1.25,1.25,2.5
181,1401679,5,4 mins 23 secs,7.5,1.25,0,1.25,2.5,2.5
182,1021672,1,3 mins 46 secs,1.67,1.25,0,0.42,0,0
183,2302673,2,3 mins 44 secs,8.75,1.25,1.25,1.25,2.5,2.5
184,2332665,2,5 mins 51 secs,2.5,1.25,0,1.25,0,0
185,3320673,1,7 mins 50 secs,3.13,1.25,0,1.25,0.63,0
186,2382365,2,6 mins 24 secs,6.25,1.25,2.5,1.25,1.25,0
187,2341865,2,1 min 45 secs,6.25,1.25,1.25,1.25,0,2.5
188,2381865,2,9 mins 39 secs,10,1.25,2.5,1.25,2.5,2.5
189,2313065,4,1 min 23 secs,10,1.25,2.5,1.25,2.5,2.5
190,2341465,2,2 mins 20 secs,7.5,1.25,2.5,1.25,0,2.5
191,2382967,6,1 min 11 secs,8.13,1.25,2.5,1.25,0.63,2.5
192,3202673,1,8 mins 28 secs,4.17,1.25,2.5,0.42,0,0
