Index,ID,Attempt Number,Time taken,10,3,2.5,2.5,1,1
160,2107670,2,17 mins 58 secs,6.8,3,2,0,0.8,1
161,2021672,1,20 mins 39 secs,1,1,0,0,0,0
162,2393365,2,6 mins 14 secs,9.8,3,2.5,2.5,0.8,1
163,2021672,2,2 mins 27 secs,8.1,3,1,2.5,0.6,0
164,1401676,2,11 mins 3 secs,6.8,2.5,2.5,0,0.8,0
165,2291566,3,3 mins 25 secs,9.8,3,2.5,2.5,0.8,1
166,2281465,1,5 mins 43 secs,9.4,3,2.5,2.5,0.4,1
167,2453065,6,2 mins 28 secs,10,3,2.5,2.5,1,1
168,2292865,2,7 mins 34 secs,7.7,2.5,2.5,2.5,0.2,1
169,2343365,3,5 mins 19 secs,10,3,2.5,2.5,1,0
170,1401679,4,10 mins 17 secs,9.2,3,2.5,2.5,0.2,1
171,1014682,2,5 mins 19 secs,3,2.5,0.5,0,0,1
172,2301676,2,3 mins 9 secs,8.6,2,2.5,2.5,0.6,1
173,2314679,1,4 mins 57 secs,6.6,2.5,2.5,0,0.6,1
174,2110679,2,12 mins 35 secs,9.2,3,2.5,2.5,0.2,1
175,3306685,3,4 mins 40 secs,7.5,2.5,1.5,2.5,1,0
176,2431665,1,8 mins 17 secs,1.2,1,0,0,0.2,1
177,2804676,2,6 mins 14 secs,7.5,3,2.5,0,1,1
178,1799678,2,7 mins 38 secs,8.3,3,2,2.5,0.8,1
179,2218682,2,6 mins 8 secs,9,3,2.5,2.5,0,1
180,2321465,4,7 mins 43 secs,9.8,3,2.5,2.5,0.8,1
181,1014676,2,7 mins 20 secs,7.7,3,2,2.5,0.2,1
182,3404673,2,2 mins 45 secs,9.8,3,2.5,2.5,0.8,1
183,2292865,3,2 mins 20 secs,8.2,3,1.5,2.5,0.2,0
184,2431665,2,2 mins,5,2,0.5,2.5,0,0
185,1021672,1,5 mins 22 secs,1.5,1.5,0,0,0,1
186,2431665,3,2 mins 15 secs,7.7,3,1,2.5,0.2,1
187,2391265,2,5 mins 53 secs,6.5,3,2.5,0,1,1
188,2214669,2,2 mins 50 secs,9.4,3,2.5,2.5,0.4,1
189,2302673,2,7 mins 44 secs,9.1,3,2,2.5,0.6,0
190,1401679,5,3 mins 49 secs,9,3,2.5,2.5,0,1
191,2332665,2,4 mins 32 secs,7.7,3,1,2.5,0.2,0
192,2382365,1,11 mins 33 secs,5.1,2.5,1,0,0.6,1
193,3320673,1,9 mins 34 secs,5.9,2,2.5,0,0.4,0
194,2341865,2,2 mins 46 secs,9.6,3,2.5,2.5,0.6,1
195,2381865,3,7 mins 41 secs,5.2,1,0.5,2.5,0.2,0
196,2382967,6,4 mins 33 secs,10,3,2.5,2.5,1,1
197,2318682,3,5 mins 31 secs,10,3,2.5,2.5,1,0
198,2341465,2,2 mins 45 secs,7.5,2.5,1.5,2.5,0,1
199,2318682,4,2 mins 49 secs,3,3,0,0,0,1
